Epoch 459, Loss G: -4.4641,Loss D:  0.5217
Epoch 460, Loss G: -4.1927,Loss D:  0.0557
Epoch 461, Loss G: -4.2582,Loss D: -0.0693
Epoch 462, Loss G: -4.3364,Loss D:  0.2987
Epoch 463, Loss G: -5.0513,Loss D: -0.4321
Epoch 464, Loss G: -3.9538,Loss D: -0.2273
Epoch 465, Loss G: -4.0341,Loss D: -0.5279
Epoch 466, Loss G: -3.9815,Loss D: -0.5868
Epoch 467, Loss G: -3.9083,Loss D: -0.7758
Epoch 468, Loss G: -4.4531,Loss D: -0.5567
Epoch 469, Loss G: -3.9808,Loss D: -0.1824
Epoch 470, Loss G: -4.3850,Loss D: -0.5895
Epoch 471, Loss G: -3.4789,Loss D: -0.4402
Epoch 472, Loss G: -3.6240,Loss D:  0.3385
Epoch 473, Loss G: -4.3334,Loss D:  0.1394
Epoch 474, Loss G: -4.0710,Loss D:  0.6322
Epoch 475, Loss G: -4.6472,Loss D:  0.8192
Epoch 476, Loss G: -4.8650,Loss D:  0.6552
Epoch 477, Loss G: -4.6742,Loss D:  0.0420
Epoch 478, Loss G: -4.6900,Loss D:  0.2250
Epoch 479, Loss G: -4.4847,Loss D: -0.1062
Epoch 480, Loss G: -4.6909,Loss D: -0.1413
Epoch 481, Loss G: -5.0800,Loss D: -0.2519
Epoch 482, Loss G: -5.1218,Loss D:  0.0264
