Epoch 372, Loss G: -4.4998,Loss D:  0.4070
Epoch 373, Loss G: -4.6569,Loss D: -0.0460
Epoch 374, Loss G: -5.0987,Loss D: -0.0702
Epoch 375, Loss G: -4.9309,Loss D: -0.1605
Epoch 376, Loss G: -4.8462,Loss D:  0.1051
Epoch 377, Loss G: -5.0195,Loss D: -0.3473
Epoch 378, Loss G: -4.8735,Loss D: -0.5565
Epoch 379, Loss G: -4.8673,Loss D: -0.4720
Epoch 380, Loss G: -4.6932,Loss D:  0.2824
Epoch 381, Loss G: -5.2086,Loss D:  0.1158
Epoch 382, Loss G: -5.0774,Loss D:  0.1530
Epoch 383, Loss G: -4.7465,Loss D:  0.2406
Epoch 384, Loss G: -5.3103,Loss D: -0.0588
Epoch 385, Loss G: -5.5021,Loss D: -0.0654
Epoch 386, Loss G: -5.8911,Loss D:  0.0697
Epoch 387, Loss G: -5.5731,Loss D:  0.3987
Epoch 388, Loss G: -5.2273,Loss D:  0.1207
Epoch 389, Loss G: -5.4011,Loss D:  0.1906
Epoch 390, Loss G: -4.8412,Loss D:  0.4216
Epoch 391, Loss G: -5.1198,Loss D: -0.0542
Epoch 392, Loss G: -5.0763,Loss D:  0.3574
Epoch 393, Loss G: -4.9109,Loss D: -0.4863
Epoch 394, Loss G: -4.8807,Loss D:  0.4005
Epoch 395, Loss G: -4.9153,Loss D: -0.1579
Epoch 396, Loss G: -4.9597,Loss D:  0.1732
Epoch 397, Loss G: -4.6095,Loss D:  0.0393
Epoch 398, Loss G: -4.8393,Loss D:  0.0953
Epoch 399, Loss G: -5.0490,Loss D:  0.1122
Epoch 400, Loss G: -5.0914,Loss D:  0.3514
Epoch 401, Loss G: -5.0882,Loss D:  0.3386
Epoch 402, Loss G: -5.0798,Loss D:  0.5582
Epoch 403, Loss G: -5.3965,Loss D:  0.8036
Epoch 404, Loss G: -5.5787,Loss D:  0.1268
Epoch 405, Loss G: -5.3492,Loss D:  0.3229
Epoch 406, Loss G: -5.1191,Loss D:  0.2639
Epoch 407, Loss G: -5.4066,Loss D:  0.6661
Epoch 408, Loss G: -5.1849,Loss D:  0.3519
Epoch 409, Loss G: -5.0045,Loss D:  0.5444
Epoch 410, Loss G: -5.0990,Loss D:  0.3490
Epoch 411, Loss G: -5.1049,Loss D:  0.1018
Epoch 412, Loss G: -4.8234,Loss D:  0.1453
Epoch 413, Loss G: -4.8194,Loss D:  0.0280
Epoch 414, Loss G: -4.4836,Loss D: -0.0114
Epoch 415, Loss G: -4.3847,Loss D: -0.1236
Epoch 416, Loss G: -4.3501,Loss D: -0.5704
